0.3	0.284137123
0.3	0.278666872
0.3	0.29389699
0.3	0.303682237
0.3	0.287170254
0.3	0.277195294
0.3	0.292049558
0.3	0.311532608
0.3	0.282135507
0.3	0.305240402
0.3	0.22028825
0.3	0.178073611
0.3	0.183080496
0.3	0.191915338
0.3	0.181928125
0.3	0.176767123
0.3	0.220042321
0.3	0.184635909
0.3	0.201306015
0.3	0.208543371
0.6	0.54582223
0.6	0.565356131
0.6	0.546105294
0.6	0.571873178
0.6	0.568933935
0.6	0.59881914
0.6	0.57357078
0.6	0.580849756
0.6	0.579009577
0.6	0.573409467
0.6	0.867692402
0.6	0.824194165
0.6	0.8290747
0.6	0.829770033
0.6	0.873148163
0.6	0.850457465
0.6	0.830535708
0.6	0.904515742
0.6	0.816380353
0.6	0.848362042
0.9	0.924605274
0.9	0.917945486
0.9	0.899402443
0.9	0.90299445
0.9	0.890246035
0.9	0.899596838
0.9	0.911329548
0.9	0.904799206
0.9	0.899057582
0.9	0.864838441
0.9	0.905783652
0.9	0.916782557
0.9	0.911771226
0.9	0.895338038
0.9	0.925199173
0.9	0.905332761
0.9	0.908140728
0.9	0.889050779
0.9	0.908951659
0.9	0.900931256
1.2	1.174944792
1.2	1.198387572
1.2	1.135565045
1.2	1.165968484
1.2	1.168141431
1.2	1.207495723
1.2	1.178459328
1.2	1.189261587
1.2	1.156014134
1.2	1.174434059
1.2	1.172978824
1.2	1.122901068
1.2	1.173686594
1.2	1.141575182
1.2	1.141971379
1.2	1.164183049
1.2	1.169139786
1.2	1.139484475
1.2	1.161644529
1.2	1.169279625
1.5	1.473409296
1.5	1.434785596
1.5	1.430963658
1.5	1.444134519
1.5	1.478533518
1.5	1.422474449
1.5	1.463442495
1.5	1.425470444
1.5	1.435841286
1.5	1.462666761
1.5	1.574644703
1.5	1.560177382
1.5	1.491715549
1.5	1.508595239
1.5	1.558128679
1.5	1.549823355
1.5	1.541249715
1.5	1.527616122
1.5	1.509847425
1.5	1.493671129
1.8	1.788415537
1.8	1.81414703
1.8	1.818298048
1.8	1.831985379
1.8	1.817171549
1.8	1.820137769
1.8	1.830709461
1.8	1.780986217
1.8	1.808773632
1.8	1.785397736
1.8	1.758093481
1.8	1.771631659
1.8	1.761025734
1.8	1.736286333
1.8	1.77662036
1.8	1.765753621
1.8	1.747659894
1.8	1.773347253
1.8	1.781187719
1.8	1.734083239
2.1	2.140541477
2.1	2.100870143
2.1	2.09924424
2.1	2.127275475
2.1	2.119855568
2.1	2.122660893
2.1	2.109047664
2.1	2.166362371
2.1	2.138734683
2.1	2.141191458
2.1	1.939833744
2.1	1.945045781
2.1	1.976374941
2.1	1.938236677
2.1	1.958230413
2.1	1.915213657
2.1	1.915613651
2.1	1.966134717
2.1	1.946857014
2.1	1.906114875
2.4	2.436089136
2.4	2.434273951
2.4	2.460516913
2.4	2.456951791
2.4	2.426521589
2.4	2.44042703
2.4	2.446336106
2.4	2.421263552
2.4	2.445805865
2.4	2.441972313
2.4	2.346975682
2.4	2.359008632
2.4	2.379462915
2.4	2.382474997
2.4	2.382885764
2.4	2.35642891
2.4	2.347338112
2.4	2.333268082
2.4	2.342920049
2.4	2.360980451
2.7	2.558925395
2.7	2.576394285
2.7	2.577224777
2.7	2.578116765
2.7	2.571710363
2.7	2.592394166
2.7	2.585854783
2.7	2.618592753
2.7	2.617440249
2.7	2.602972434
2.7	2.592895654
2.7	2.606368343
2.7	2.604035721
2.7	2.583227765
2.7	2.585153574
2.7	2.584249913
2.7	2.600652641
2.7	2.593914471
2.7	2.618206371
2.7	2.613526383
3	2.95425237
3	2.939431501
3	2.927893432
3	2.949973514
3	2.966103757
3	2.940144194
3	2.960595681
3	2.953448353
3	2.94898229
3	2.958703194
3	2.89439534
3	2.900510436
3	2.881250254
3	2.902988605
3	2.904584842
3	2.920550257
3	2.907065059
3	2.895004047
3	2.926487608
3	2.905513609
